,item,loc,type,zipcode
0,Family Dollar,"33.7026678,-84.38574419999999",grocery_or_supermarket,30315
1,ALDI,"33.723039,-84.3436881",grocery_or_supermarket,30316
2,Family Dollar,"33.723039,-84.3436881",grocery_or_supermarket,30316
3,Family Dollar,"33.723039,-84.3436881",grocery_or_supermarket,30316
4,Family Dollar,"33.7321902,-84.42251859999999",grocery_or_supermarket,30310
5,Family Dollar,"33.7321902,-84.42251859999999",grocery_or_supermarket,30310
6,Publix Super Market at Seabreeze Plaza Shopping Center,"28.048427,-82.7376544",grocery_or_supermarket,30387
7,Grant Park Market,"33.7440941,-84.377861",grocery_or_supermarket,30312
8,Foreign brothers auto,"33.7440941,-84.377861",grocery_or_supermarket,30312
9,Publix Super Market at East Lake,"33.7467783,-84.3147572",grocery_or_supermarket,30317
10,Family Dollar,"33.7476898,-84.38804329999999",grocery_or_supermarket,30334
11,Foreign brothers auto,"33.7476898,-84.38804329999999",grocery_or_supermarket,30334
12,Grant Park Market,"33.7476898,-84.38804329999999",grocery_or_supermarket,30334
13,Walmart Supercenter,"33.75,-84.39999999999999",grocery_or_supermarket,30302
14,Family Dollar,"33.75,-84.39999999999999",grocery_or_supermarket,30302
15,Foreign brothers auto,"33.75,-84.39999999999999",grocery_or_supermarket,30302
16,Publix Super Market at Piedmont,"33.76,-84.39",grocery_or_supermarket,30343
17,Foreign brothers auto,"33.76,-84.39",grocery_or_supermarket,30343
18,Family Dollar,"33.75,-84.39",grocery_or_supermarket,30353
19,Foreign brothers auto,"33.75,-84.39",grocery_or_supermarket,30353
20,Family Dollar,"33.75,-84.39",grocery_or_supermarket,30392
21,Foreign brothers auto,"33.75,-84.39",grocery_or_supermarket,30392
22,Foreign brothers auto,"33.755711,-84.3883717",grocery_or_supermarket,30303
23,Walmart Supercenter,"33.7539971,-84.412014",grocery_or_supermarket,30314
24,Family Dollar,"33.7539971,-84.412014",grocery_or_supermarket,30314
25,Dollar Tree Casade Rd SW,"33.7539971,-84.412014",grocery_or_supermarket,30314
26,Brito Supermarket,"33.8921369,-84.26366770000001",grocery_or_supermarket,30362
27,Trader Joe's,"33.8524536,-84.3679295",grocery_or_supermarket,31119
28,Publix Super Market at Lenox Marketplace,"33.8524536,-84.3679295",grocery_or_supermarket,31119
29,Disco Kroger,"33.8524536,-84.3679295",grocery_or_supermarket,31119
30,Toms Office,"33.8524536,-84.3679295",grocery_or_supermarket,31119
31,ALDI,"33.8524536,-84.3679295",grocery_or_supermarket,31119
32,Family Dollar,"33.75,-84.39",grocery_or_supermarket,31195
33,Foreign brothers auto,"33.75,-84.39",grocery_or_supermarket,31195
34,Atlanta Chinatown,"33.8817597,-84.2904682",grocery_or_supermarket,39901
35,Dinho Market of Atlanta,"33.8817597,-84.2904682",grocery_or_supermarket,39901
36,Family Dollar,"33.8817597,-84.2904682",grocery_or_supermarket,39901
37,Manoi,"33.8817597,-84.2904682",grocery_or_supermarket,39901
38,Publix Super Market at Piedmont,"33.7657549,-84.39493999999999",grocery_or_supermarket,30313
39,Publix Super Market at The Plaza Midtown,"33.7730242,-84.3864011",grocery_or_supermarket,30375
40,Publix Super Market at Piedmont,"33.7730242,-84.3864011",grocery_or_supermarket,30375
41,Family Dollar,"33.7730242,-84.3864011",grocery_or_supermarket,30375
42,Whole Foods Market,"33.7717008,-84.3726049",grocery_or_supermarket,30308
43,Trader Joe's,"33.7717008,-84.3726049",grocery_or_supermarket,30308
44,Publix Super Market at Piedmont,"33.7717008,-84.3726049",grocery_or_supermarket,30308
45,Family Dollar,"33.7717008,-84.3726049",grocery_or_supermarket,30308
46,Whole Foods Market,"33.7700012,-84.3811458",grocery_or_supermarket,30332
47,Publix Super Market at The Plaza Midtown,"33.7700012,-84.3811458",grocery_or_supermarket,30332
48,Publix Super Market at Piedmont,"33.7700012,-84.3811458",grocery_or_supermarket,30332
49,Family Dollar,"33.7700012,-84.3811458",grocery_or_supermarket,30332
50,Publix Super Market at The Plaza Midtown,"33.7877341,-84.38081729999999",grocery_or_supermarket,30361
51,Trader Joe's,"33.7877341,-84.38081729999999",grocery_or_supermarket,30361
52,Publix Super Market at Ansley Mall,"33.7877341,-84.38081729999999",grocery_or_supermarket,30361
53,Publix Super Market at Ponce,"33.7845409,-84.3489467",grocery_or_supermarket,30306
54,Publix Super Market at West Paces Ferry,"33.8373615,-84.4201604",grocery_or_supermarket,30325
55,월마트,"33.8373615,-84.4201604",grocery_or_supermarket,30325
56,Publix Super Market at The Plaza Midtown,"33.7841361,-84.3877426",grocery_or_supermarket,30357
57,Publix Super Market In Atlantic Station,"33.7841361,-84.3877426",grocery_or_supermarket,30357
58,Whole Foods Market,"33.8053664,-84.3367294",grocery_or_supermarket,30333
59,Publix Super Market at The Plaza Midtown,"33.7910495,-84.400194",grocery_or_supermarket,30363
60,Publix Super Market In Atlantic Station,"33.7910495,-84.400194",grocery_or_supermarket,30363
61,House Of Prayer Pentecostal Holiness Church,"33.7910495,-84.400194",grocery_or_supermarket,30363
62,Publix Super Market at Ansley Mall,"33.7971137,-84.3804888",grocery_or_supermarket,30309
