,item,loc,type,zipcode
0,The Wren's Nest,"33.7321902,-84.42251859999999",museum,30310
1,Hammond House Museum,"33.7321902,-84.42251859999999",museum,30310
2,Salvation Army Museum of South,"33.7321902,-84.42251859999999",museum,30310
3,Ancient African History Museum - Atlanta,"33.7321902,-84.42251859999999",museum,30310
4,blues staduim,"33.7321902,-84.42251859999999",museum,30310
5,Omenala Griot Afrocentric Museum & Event Center,"33.7321902,-84.42251859999999",museum,30310
6,Nancy & Tom,"28.048427,-82.7376544",museum,30387
7,Palm Harbor Museum,"28.048427,-82.7376544",museum,30387
8,"Martin Luther King, Jr. National Historical Park","33.7440941,-84.377861",museum,30312
9,Georgia State Capitol,"33.7440941,-84.377861",museum,30312
10,Apex Museum,"33.7440941,-84.377861",museum,30312
11,Consulado Argentino en Atlanta,"33.7440941,-84.377861",museum,30312
12,The Patch Works Art and History Center,"33.7440941,-84.377861",museum,30312
13,Atlanta Aquarium,"33.7440941,-84.377861",museum,30312
14,DOGNY Project Monument,"33.7440941,-84.377861",museum,30312
15,Madam CJ Walker's,"33.7440941,-84.377861",museum,30312
16,Freedom Hall,"33.7440941,-84.377861",museum,30312
17,Civil Rights Tours Atlanta,"33.7440941,-84.377861",museum,30312
18,Zoolojico,"33.7440941,-84.377861",museum,30312
19,MLK Freedom Hall Gift Shop,"33.7440941,-84.377861",museum,30312
20,The Hosea House,"33.7467783,-84.3147572",museum,30317
21,NIAH Studios,"33.7467783,-84.3147572",museum,30317
22,Georgia State Capitol,"33.7476898,-84.38804329999999",museum,30334
23,Apex Museum,"33.7476898,-84.38804329999999",museum,30334
24,College Football Hall of Fame,"33.7476898,-84.38804329999999",museum,30334
25,Purva Designs Inc.,"33.7476898,-84.38804329999999",museum,30334
26,Old Campbell County Historical Society,"33.7476898,-84.38804329999999",museum,30334
27,Atlanta Aquarium,"33.7476898,-84.38804329999999",museum,30334
28,DOGNY Project Monument,"33.7476898,-84.38804329999999",museum,30334
29,Consulado Argentino en Atlanta,"33.7476898,-84.38804329999999",museum,30334
30,Push Creatives,"33.7476898,-84.38804329999999",museum,30334
31,CNN Atlanta,"33.7476898,-84.38804329999999",museum,30334
32,Coke,"33.7476898,-84.38804329999999",museum,30334
33,Madam CJ Walker's,"33.7476898,-84.38804329999999",museum,30334
34,Centenial Park Atlanta,"33.7476898,-84.38804329999999",museum,30334
35,Georgia State Capitol,"33.75,-84.39999999999999",museum,30302
36,Children's Museum of Atlanta,"33.75,-84.39999999999999",museum,30302
37,College Football Hall of Fame,"33.75,-84.39999999999999",museum,30302
38,Herndon Home Museum,"33.75,-84.39999999999999",museum,30302
39,Old Campbell County Historical Society,"33.75,-84.39999999999999",museum,30302
40,Push Creatives,"33.75,-84.39999999999999",museum,30302
41,CNN Atlanta,"33.75,-84.39999999999999",museum,30302
42,DOGNY Project Monument,"33.75,-84.39999999999999",museum,30302
43,Atlanta Aquarium,"33.75,-84.39999999999999",museum,30302
44,Spelman College Museum,"33.75,-84.39999999999999",museum,30302
45,Centenial Park Atlanta,"33.75,-84.39999999999999",museum,30302
46,Coke,"33.75,-84.39999999999999",museum,30302
47,Sea Otters,"33.75,-84.39999999999999",museum,30302
48,Children's Museum of Atlanta,"33.76,-84.39",museum,30343
49,Georgia State Capitol,"33.76,-84.39",museum,30343
50,"Martin Luther King, Jr. National Historical Park","33.76,-84.39",museum,30343
51,Apex Museum,"33.76,-84.39",museum,30343
52,College Football Hall of Fame,"33.76,-84.39",museum,30343
53,Purva Designs Inc.,"33.76,-84.39",museum,30343
54,Center for Civil and Human Rights,"33.76,-84.39",museum,30343
55,Old Campbell County Historical Society,"33.76,-84.39",museum,30343
56,Coke,"33.76,-84.39",museum,30343
57,Centenial Park Atlanta,"33.76,-84.39",museum,30343
58,Carnegie Monument,"33.76,-84.39",museum,30343
59,CNN Atlanta,"33.76,-84.39",museum,30343
60,Sea Otters,"33.76,-84.39",museum,30343
61,DOGNY Project Monument,"33.76,-84.39",museum,30343
62,Atlanta Aquarium,"33.76,-84.39",museum,30343
63,Madam CJ Walker's,"33.76,-84.39",museum,30343
64,Georgia Rural Telephone Museum,"33.76,-84.39",museum,30343
65,Georgia State Capitol,"33.75,-84.39",museum,30353
66,Children's Museum of Atlanta,"33.75,-84.39",museum,30353
67,Apex Museum,"33.75,-84.39",museum,30353
68,College Football Hall of Fame,"33.75,-84.39",museum,30353
69,Purva Designs Inc.,"33.75,-84.39",museum,30353
70,Old Campbell County Historical Society,"33.75,-84.39",museum,30353
71,Center for Civil and Human Rights,"33.75,-84.39",museum,30353
72,DOGNY Project Monument,"33.75,-84.39",museum,30353
73,Atlanta Aquarium,"33.75,-84.39",museum,30353
74,Push Creatives,"33.75,-84.39",museum,30353
75,CNN Atlanta,"33.75,-84.39",museum,30353
76,Coke,"33.75,-84.39",museum,30353
77,Consulado Argentino en Atlanta,"33.75,-84.39",museum,30353
78,Centenial Park Atlanta,"33.75,-84.39",museum,30353
79,Madam CJ Walker's,"33.75,-84.39",museum,30353
80,Carnegie Monument,"33.75,-84.39",museum,30353
81,Sea Otters,"33.75,-84.39",museum,30353
82,Georgia State Capitol,"33.75,-84.39",museum,30392
83,Children's Museum of Atlanta,"33.75,-84.39",museum,30392
84,Apex Museum,"33.75,-84.39",museum,30392
85,College Football Hall of Fame,"33.75,-84.39",museum,30392
86,Purva Designs Inc.,"33.75,-84.39",museum,30392
87,Old Campbell County Historical Society,"33.75,-84.39",museum,30392
88,Center for Civil and Human Rights,"33.75,-84.39",museum,30392
89,DOGNY Project Monument,"33.75,-84.39",museum,30392
90,Atlanta Aquarium,"33.75,-84.39",museum,30392
91,Push Creatives,"33.75,-84.39",museum,30392
92,CNN Atlanta,"33.75,-84.39",museum,30392
93,Coke,"33.75,-84.39",museum,30392
94,Consulado Argentino en Atlanta,"33.75,-84.39",museum,30392
95,Centenial Park Atlanta,"33.75,-84.39",museum,30392
96,Madam CJ Walker's,"33.75,-84.39",museum,30392
97,Carnegie Monument,"33.75,-84.39",museum,30392
98,Sea Otters,"33.75,-84.39",museum,30392
99,"Martin Luther King, Jr. National Historical Park","33.755711,-84.3883717",museum,30303
100,Children's Museum of Atlanta,"33.755711,-84.3883717",museum,30303
101,Georgia State Capitol,"33.755711,-84.3883717",museum,30303
102,Apex Museum,"33.755711,-84.3883717",museum,30303
103,College Football Hall of Fame,"33.755711,-84.3883717",museum,30303
104,Purva Designs Inc.,"33.755711,-84.3883717",museum,30303
105,Center for Civil and Human Rights,"33.755711,-84.3883717",museum,30303
106,Old Campbell County Historical Society,"33.755711,-84.3883717",museum,30303
107,Coke,"33.755711,-84.3883717",museum,30303
108,DOGNY Project Monument,"33.755711,-84.3883717",museum,30303
109,CNN Atlanta,"33.755711,-84.3883717",museum,30303
110,Centenial Park Atlanta,"33.755711,-84.3883717",museum,30303
111,Atlanta Aquarium,"33.755711,-84.3883717",museum,30303
112,Carnegie Monument,"33.755711,-84.3883717",museum,30303
113,Sea Otters,"33.755711,-84.3883717",museum,30303
114,Madam CJ Walker's,"33.755711,-84.3883717",museum,30303
115,Push Creatives,"33.755711,-84.3883717",museum,30303
