,item,loc,type,zipcode
0,Atlanta Police Department,"33.7026678,-84.38574419999999",police,30315
1,Georgia State Patrol,"33.723039,-84.3436881",police,30316
2,Georgia State Police Academy,"33.723039,-84.3436881",police,30316
3,Superior Court-Criminal,"33.7440941,-84.377861",police,30312
4,Fulton County Marshal,"33.7440941,-84.377861",police,30312
5,Sheriff-Superior Court Office,"33.7440941,-84.377861",police,30312
6,Sheriff-Professional Standards,"33.7440941,-84.377861",police,30312
7,Fulton County Police Department,"33.7440941,-84.377861",police,30312
8,Atlanta Police Department Zone 3,"33.7440941,-84.377861",police,30312
9,Atlanta Police Domestic Crisis,"33.7440941,-84.377861",police,30312
10,Atlanta Police-Parking Department,"33.7440941,-84.377861",police,30312
11,George State Patrol Capitol PO,"33.7440941,-84.377861",police,30312
12,Atlanta Police-School Dtctvs,"33.7440941,-84.377861",police,30312
13,Police Patrol Section Zone 5,"33.7440941,-84.377861",police,30312
14,Police Patrol Section Undrgrnd,"33.7440941,-84.377861",police,30312
15,Fulton County Sheriff-Juvenile,"33.7440941,-84.377861",police,30312
16,Fulton County Police Department,"33.7440941,-84.377861",police,30312
17,GSU Police HQ,"33.7440941,-84.377861",police,30312
18,Atlanta Police Department Zone 6,"33.7467783,-84.3147572",police,30317
19,Superior Court-Criminal,"33.7476898,-84.38804329999999",police,30334
20,Fulton County Marshal,"33.7476898,-84.38804329999999",police,30334
21,Fulton County Police Department,"33.7476898,-84.38804329999999",police,30334
22,Sheriff-Superior Court Office,"33.7476898,-84.38804329999999",police,30334
23,Sheriff-Professional Standards,"33.7476898,-84.38804329999999",police,30334
24,Fulton County Sheriff-Juvenile,"33.7476898,-84.38804329999999",police,30334
25,Atlanta Police Department CNN Center Precinct,"33.7476898,-84.38804329999999",police,30334
26,Atlanta Police-Parking Department,"33.7476898,-84.38804329999999",police,30334
27,Atlanta Police-School Dtctvs,"33.7476898,-84.38804329999999",police,30334
28,George State Patrol Capitol PO,"33.7476898,-84.38804329999999",police,30334
29,Police Patrol Section Zone 5,"33.7476898,-84.38804329999999",police,30334
30,Fulton County Police Department,"33.7476898,-84.38804329999999",police,30334
31,Atlanta Police Domestic Crisis,"33.7476898,-84.38804329999999",police,30334
32,Police Patrol Section Undrgrnd,"33.7476898,-84.38804329999999",police,30334
33,Atlanta Police Department Zone 5,"33.7476898,-84.38804329999999",police,30334
34,GSU Police HQ,"33.7476898,-84.38804329999999",police,30334
35,Superior Court-Criminal,"33.75,-84.39999999999999",police,30302
36,Fulton County Marshal,"33.75,-84.39999999999999",police,30302
37,Fulton County Police Department,"33.75,-84.39999999999999",police,30302
38,Sheriff-Superior Court Office,"33.75,-84.39999999999999",police,30302
39,Sheriff-Professional Standards,"33.75,-84.39999999999999",police,30302
40,Atlanta Police Department Magnolia Street Precinct,"33.75,-84.39999999999999",police,30302
41,Atlanta Police Department CNN Center Precinct,"33.75,-84.39999999999999",police,30302
42,Fulton County Sheriff-Juvenile,"33.75,-84.39999999999999",police,30302
43,Atlanta Police-Parking Department,"33.75,-84.39999999999999",police,30302
44,Atlanta Police-School Dtctvs,"33.75,-84.39999999999999",police,30302
45,George State Patrol Capitol PO,"33.75,-84.39999999999999",police,30302
46,Police Patrol Section Zone 5,"33.75,-84.39999999999999",police,30302
47,Fulton County Police Department,"33.75,-84.39999999999999",police,30302
48,Police Patrol Section Undrgrnd,"33.75,-84.39999999999999",police,30302
49,Atlanta Police Department Zone 5,"33.75,-84.39999999999999",police,30302
50,Police Fair Street Mini Prcnct,"33.75,-84.39999999999999",police,30302
51,GSU Police HQ,"33.75,-84.39999999999999",police,30302
52,Superior Court-Criminal,"33.76,-84.39",police,30343
53,Fulton County Marshal,"33.76,-84.39",police,30343
54,Fulton County Police Department,"33.76,-84.39",police,30343
55,Sheriff-Superior Court Office,"33.76,-84.39",police,30343
56,Sheriff-Professional Standards,"33.76,-84.39",police,30343
57,Usgsa Regional Counsel,"33.76,-84.39",police,30343
58,Atlanta Police Department CNN Center Precinct,"33.76,-84.39",police,30343
59,Police Patrol Section Zone 5,"33.76,-84.39",police,30343
60,Fulton County Police Department,"33.76,-84.39",police,30343
61,Atlanta Police-Parking Department,"33.76,-84.39",police,30343
62,Atlanta Police Department Zone 5,"33.76,-84.39",police,30343
63,Atlanta Police-School Dtctvs,"33.76,-84.39",police,30343
64,Police Patrol Section Undrgrnd,"33.76,-84.39",police,30343
65,George State Patrol Capitol PO,"33.76,-84.39",police,30343
66,POST #1,"33.76,-84.39",police,30343
67,GSU Police HQ,"33.76,-84.39",police,30343
68,GWCC Police Department North Precinct,"33.76,-84.39",police,30343
69,Superior Court-Criminal,"33.75,-84.39",police,30353
70,Fulton County Marshal,"33.75,-84.39",police,30353
71,Fulton County Police Department,"33.75,-84.39",police,30353
72,Sheriff-Superior Court Office,"33.75,-84.39",police,30353
73,Sheriff-Professional Standards,"33.75,-84.39",police,30353
74,Atlanta Police Department CNN Center Precinct,"33.75,-84.39",police,30353
75,Fulton County Sheriff-Juvenile,"33.75,-84.39",police,30353
76,Atlanta Police-Parking Department,"33.75,-84.39",police,30353
77,Atlanta Police-School Dtctvs,"33.75,-84.39",police,30353
78,George State Patrol Capitol PO,"33.75,-84.39",police,30353
79,Police Patrol Section Zone 5,"33.75,-84.39",police,30353
80,Fulton County Police Department,"33.75,-84.39",police,30353
81,Atlanta Police Department Zone 5,"33.75,-84.39",police,30353
82,Police Patrol Section Undrgrnd,"33.75,-84.39",police,30353
83,GSU Police HQ,"33.75,-84.39",police,30353
84,Superior Court-Criminal,"33.75,-84.39",police,30392
85,Fulton County Marshal,"33.75,-84.39",police,30392
86,Fulton County Police Department,"33.75,-84.39",police,30392
87,Sheriff-Superior Court Office,"33.75,-84.39",police,30392
88,Sheriff-Professional Standards,"33.75,-84.39",police,30392
89,Atlanta Police Department CNN Center Precinct,"33.75,-84.39",police,30392
90,Fulton County Sheriff-Juvenile,"33.75,-84.39",police,30392
